68,7,3,2,Dr Mohamed Rezk,Digital Integrated Circuit Design,Class P43,1,5,1,3,,,,,Lecture,Unknown,Digital Integrated Circuit Design,p43,2,5,0,0,Tut,Unknown,Digital Integrated Circuit Design,p43,2,5,1,1,Tut,,,,,,,,,,,,,,,,,CCE
69,7,4,3,Dr Hesham Elmongui,Database Systems,Class C28,1,4,6,7,Class C27,0,6,7,Lecture,Unknown,Database Systems,Class 704,2,0,8,8,Tut,Unknown,Database Systems,Class 704,2,0,9,9,Tut,Unknown,Database Systems,Lab,2,2,6,6,Lab,Unknown,Database Systems,Lab,2,2,7,7,Lab,CCE
70,7,3,3,Dr Hicham Elmongui,Operating Systems,Class C26,1,2,8,9,,,,,Lecture,Unknown,Operating Systems,Class 74,1,2,11,11,Tut,Unknown,Operating Systems,Class 702,1,4,4,4,Tut,Unknown,Operating Systems,Lab,2,0,8,8,Lab,Unknown,Operating Systems,Lab,2,0,9,9,Lab,CCE
71,7,3,3,Dr Amr Elmasry,Analysis and Design of Algorithms,Class C27,1,1,9,11,,,,,Lecture,Unknown,Analysis and Design of Algorithms,Class72,2,1,6,6,Tut,Unknown,Analysis and Design of Algorithms,Class72,2,1,7,7,Tut,,,,,,,,,,,,,,,,,CCE
72,7,3,3,Dr Said Elkhamy,Analog Communications,K5,1,4,2,3,,,,,Lecture,Unknown,Analog Communications,Class 72,1,2,10,10,Tut,Unknown,Analog Communications,Class 72,1,4,5,5,Tut,Unknown,Analog Communications,Lab,2,1,6,6,Lab,Unknown,Analog Communications,Lab,2,1,7,7,Lab,CCE
73,7,3,3,Dr Ahmed Younes,New trends in CCE,Class C26,1,2,3,5,,,,,Lecture,Unknown,New trends in CCE,Classp43,2,2,0,0,Tut,Unknown,New trends in CCE,Classp43,2,2,1,1,Tut,,,,,,,,,,,,,,,,,CCE
74,7,3,4,Dr Hicham Elmongui,Operating Systems,Class C27,1,3,8,9,,,,,Lecture,Unknown,Operating Systems,Class 703,1,3,5,5,Tut,Unknown,Operating Systems,Class 703,1,5,8,8,Tut,Unknown,Operating Systems,Lab,2,0,2,2,Lab,Unknown,Operating Systems,Lab,2,0,3,3,Lab,CCE
75,7,4,4,Dr Hicham Elmongui,Database Systems,Class C26,1,5,6,7,,,,,Lecture,Unknown,Database Systems,Class 74,2,0,2,2,Tut,Unknown,Database Systems,Class 74,2,0,3,3,Tut,Unknown,Database Systems,Lab,2,3,6,6,Lab,Unknown,Database Systems,Lab,2,3,7,7,Lab,CCE
76,7,3,4,Dr Noha Ossman,Analog Communications,Class 71,1,0,4,5,,,,,Lecture,Unknown,Analog Communications,Class 701,1,3,4,4,Tut,Unknown,Analog Communications,Class 704,1,5,9,9,Tut,Unknown,Analog Communications,Lab,2,2,6,6,Lab,Unknown,Analog Communications,Lab,2,2,7,7,Lab,CCE
77,7,3,4,Dr Zeinab Eid,Numerical Analysis,Class C27,1,1,2,4,,,,,Lecture,Unknown,Numerical Analysis,Class 703,2,1,0,0,Tut,Unknown,Numerical Analysis,Class 703,2,1,1,1,Tut,,,,,,,,,,,,,,,,,CCE
78,7,3,4,Dr Amr Elmasry,Analysis and Design of Algorithms,Class C27,1,2,9,11,,,,,Lecture,Unknown,Analysis and Design of Algorithms,Class P41,2,3,6,6,Tut,Unknown,Analysis and Design of Algorithms,Class P41,2,3,7,7,Tut,,,,,,,,,,,,,,,,,CCE
79,9,3,1,Dr Shawky Shaaban,Communication Systems,Class 71,1,2,4,5,,,,,Lecture,Unknown,Communication Systems,Class 72,1,2,2,2,Tut,Unknown,Communication Systems,Class 701,1,2,7,7,Tut,Unknown,Communication Systems,Lab,2,0,2,2,Lab,Unknown,Communication Systems,Lab,2,0,3,3,Lab,CCE
80,9,3,1,Dr Yasmine Abou Elseoud,Performance Evaluation,Class C8,1,0,4,6,,,,,Lecture,Unknown,Performance Evaluation,Class P41,2,0,2,2,Tut,Unknown,Performance Evaluation,Class P41,2,0,3,3,Tut,,,,,,,,,,,,,,,,,CCE
